행정구역(시군구)별,항목,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
서울특별시,남자인구수 (명),5041336,5007869,4979768,4930943,4876789,4830206,4773899,4744059,4701723,4618040
서울특별시,여자인구수 (명),5153982,5135776,5123465,5091238,5053827,5027220,4991724,4985048,4966742,4891418
부산광역시,남자인구수 (명),1754479,1747000,1740417,1735570,1725607,1709508,1692421,1675417,1661000,1639044
부산광역시,여자인구수 (명),1784005,1780635,1778984,1778207,1772922,1761145,1749032,1738424,1730946,1711336
대구광역시,남자인구수 (명),1249320,1246071,1241119,1237291,1234169,1227814,1219342,1205286,1193109,1175632
대구광역시,여자인구수 (명),1256324,1255517,1252145,1250538,1250388,1247417,1242427,1232745,1225237,1209780
인천광역시,남자인구수 (명),1431593,1448835,1459074,1469869,1477671,1479597,1481844,1482249,1473943,1476373
인천광역시,여자인구수 (명),1412388,1430947,1443534,1455946,1465398,1468945,1472798,1474777,1468885,1472002
광주광역시,남자인구수 (명),728406,730216,731339,729662,728137,725295,722581,720740,717348,713015
광주광역시,여자인구수 (명),740810,742694,744545,742537,741077,738475,736755,735728,732714,728596
대전광역시,남자인구수 (명),763671,767309,766497,759778,757289,750969,744338,736607,730699,724626
대전광역시,여자인구수 (명),760912,765502,765312,758997,757081,751258,745598,738263,733183,727625
울산광역시,남자인구수 (명),590424,595319,600904,604889,603797,599480,593819,589712,583708,576217
울산광역시,여자인구수 (명),556832,561161,565473,568645,568507,565652,561804,558307,552309,545375
세종특별자치시,남자인구수 (명),57633,62205,78862,105752,121505,139734,156831,169845,177568,185678
세종특별자치시,여자인구수 (명),55484,59948,77263,105132,121543,140366,157295,170730,178263,186217
경기도,남자인구수 (명),6091035,6159193,6219813,6299812,6395453,6475323,6577501,6659995,6754469,6827298
경기도,여자인구수 (명),6002264,6075437,6138017,6222794,6321327,6398572,6499652,6579671,6672545,6738152
강원도,남자인구수 (명),774273,776498,778007,781434,781146,780635,776456,775386,776505,774332
강원도,여자인구수 (명),764357,765765,766435,768073,769660,769507,766596,766116,766335,764160
충청북도,남자인구수 (명),789286,792862,796141,798896,803240,805091,808971,810384,811591,810672
충청북도,여자인구수 (명),776342,779870,782792,785056,788385,789341,790281,789623,789246,786755
충청남도,남자인구수 (명),1026812,1037421,1045892,1054439,1064765,1076270,1082009,1081938,1082634,1083366
충청남도,여자인구수 (명),1001965,1010210,1016381,1023210,1031962,1040500,1044273,1041771,1038395,1035891
전라북도,남자인구수 (명),933386,932894,931536,930255,927505,922307,913297,904110,896874,888994
전라북도,여자인구수 (명),939955,940071,940024,939456,937286,932300,923535,914807,907230,897861
전라남도,남자인구수 (명),954354,952597,951975,953881,951889,948290,943000,937674,930615,922221
전라남도,여자인구수 (명),955264,954575,953805,955115,952025,948134,939970,931071,920934,910582
경상북도,남자인구수 (명),1355294,1355951,1356182,1357306,1356868,1353164,1346689,1342037,1329211,1323661
경상북도,여자인구수 (명),1343059,1343489,1344612,1345520,1343530,1338542,1330142,1323799,1310211,1302948
경상남도,남자인구수 (명),1670545,1678592,1687114,1694981,1699219,1701413,1697412,1692032,1681423,1668338
경상남도,여자인구수 (명),1648769,1655228,1663143,1669721,1674652,1678991,1676576,1670521,1658793,1645845
제주특별자치도,남자인구수 (명),292213,297504,304656,313428,322545,330823,335719,337345,338609,339177
제주특별자치도,여자인구수 (명),291500,296302,302690,310967,319052,326260,331472,333644,336026,337582
